"uniprotkb_canonical_ac","species","status","gene_symbol","uniprotkb_protein_name","ec_number","brenda_ec_number","cazy_gt_family","interpro_id","pfam_ac","go_molecular_function"
"P35573-1","Homo sapiens (Human)","reviewed","AGL","Glycogen debranching enzyme (Glycogen debrancher) [Includes: 4-alpha-glucanotransferase (EC 2.4.1.25) (Oligo-1,4-1,4-glucantransferase); Amylo-alpha-1,6-glucosidase (Amylo-1,6-glucosidase) (EC 3.2.1.33) (Dextrin 6-alpha-D-glucosidase)]","2.4.1.25|3.2.1.33","3.2.1.33","GH13|GH133","IPR008928|IPR010401|IPR032788|IPR029436|IPR032792|IPR032790|IPR006421|IPR017853","PF06202|PF14701|PF14702|PF14699","4-alpha-glucanotransferase activity [GO:0004134]|amylo-alpha-1,6-glucosidase activity [GO:0004135]|beta-maltose 4-alpha-glucanotransferase activity [GO:0102500]|glycogen debranching enzyme activity [GO:0004133]|polysaccharide binding [GO:0030247]|polyubiquitin modification-dependent protein binding [GO:0031593]"
"P36537-1","Homo sapiens (Human)","reviewed","UGT2B10","UDP-glucuronosyltransferase 2B10 (UDPGT 2B10) (EC 2.4.1.17)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","transferase activity, transferring hexosyl groups [GO:0016758]|UDP-glycosyltransferase activity [GO:0008194]"
"P37287-1","Homo sapiens (Human)","reviewed","PIGA","Phosphatidylinositol N-acetylglucosaminyltransferase subunit A (EC 2.4.1.198) (GlcNAc-PI synthesis protein) (Phosphatidylinositol-glycan biosynthesis class A protein) (PIG-A)","2.4.1.198","","GT4","IPR001296|IPR039507|IPR013234","PF00534|PF08288","phosphatidylinositol N-acetylglucosaminyltransferase activity [GO:0017176]|UDP-glycosyltransferase activity [GO:0008194]"
"P46976-1","Homo sapiens (Human)","reviewed","GYG1","Glycogenin-1 (GN-1) (GN1) (EC 2.4.1.186)","2.4.1.186","2.4.1.186","GT8","IPR002495|IPR029044","PF01501","glycogenin glucosyltransferase activity [GO:0008466]|manganese ion binding [GO:0030145]|protein homodimerization activity [GO:0042803]|UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity [GO:0102751]"
"P46977-1","Homo sapiens (Human)","reviewed","STT3A","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A (Oligosaccharyl transferase subunit STT3A) (STT3-A) (EC 2.4.99.18) (B5) (Integral membrane protein 1) (Transmembrane protein TMC)","2.4.99.18","","GT66","IPR003674","PF02516","dolichyl-diphosphooligosaccharide-protein glycotransferase activity [GO:0004579]|metal ion binding [GO:0046872]"
"P51993-1","Homo sapiens (Human)","reviewed","FUT6","Alpha-(1,3)-fucosyltransferase 6 (EC 2.4.1.65) (Fucosyltransferase 6) (Fucosyltransferase VI) (Fuc-TVI) (FucT-VI) (Galactoside 3-L-fucosyltransferase)","2.4.1.65","2.4.1.152|2.4.1.65","GT10","IPR031481|IPR001503|IPR038577","PF17039|PF00852","3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity [GO:0017060]|alpha-(1->3)-fucosyltransferase activity [GO:0046920]|fucosyltransferase activity [GO:0008417]"
"P52848-1","Homo sapiens (Human)","reviewed","NDST1","Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 (EC 2.8.2.8) (Glucosaminyl N-deacetylase/N-sulfotransferase 1) (NDST-1) (N-heparan sulfate sulfotransferase 1) (N-HSST 1) ([Heparan sulfate]-glucosamine N-sulfotransferase 1) (HSNST 1) [Includes: Heparan sulfate N-deacetylase 1 (EC 3.-.-.-); Heparan sulfate N-sulfotransferase 1 (EC 2.8.2.-)]","2.8.2.8|3.-.-.-|2.8.2.-","","","IPR021930|IPR037359|IPR027417|IPR000863","PF12062|PF00685","[heparan sulfate]-glucosamine N-sulfotransferase activity [GO:0015016]|deacetylase activity [GO:0019213]|heparan sulfate N-acetylglucosaminyltransferase activity [GO:0042328]|heparan sulfate sulfotransferase activity [GO:0034483]"
"P54840-1","Homo sapiens (Human)","reviewed","GYS2","Glycogen [starch] synthase, liver (EC 2.4.1.11)","2.4.1.11","","GT3","IPR008631","PF05693","glycogen (starch) synthase activity [GO:0004373]|glycogen synthase activity, transferring glucose-1-phosphate [GO:0061547]|protein homodimerization activity [GO:0042803]"
"P54855-1","Homo sapiens (Human)","reviewed","UGT2B15","UDP-glucuronosyltransferase 2B15 (UDPGT 2B15) (EC 2.4.1.17) (HLUG4) (UDP-glucuronosyltransferase 2B8) (UDPGT 2B8) (UDPGTh-3)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","glucuronosyltransferase activity [GO:0015020]|UDP-glycosyltransferase activity [GO:0008194]"
"P57054-1","Homo sapiens (Human)","reviewed","PIGP","Phosphatidylinositol N-acetylglucosaminyltransferase subunit P (EC 2.4.1.198) (Down syndrome critical region protein 5) (Down syndrome critical region protein C) (Phosphatidylinositol-glycan biosynthesis class P protein) (PIG-P)","2.4.1.198","2.4.1.198","","IPR013717|IPR016542","PF08510","phosphatidylinositol N-acetylglucosaminyltransferase activity [GO:0017176]"
"P61647-1","Homo sapiens (Human)","reviewed","ST8SIA6","Alpha-2,8-sialyltransferase 8F (EC 2.4.99.-) (Sialyltransferase 8F) (SIAT8-F) (Sialyltransferase St8Sia VI) (ST8SiaVI)","2.4.99.-","","GT29","IPR001675|IPR038578|IPR012163","PF00777","sialyltransferase activity [GO:0008373]"
"P61803-1","Homo sapiens (Human)","reviewed","DAD1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (DAD-1)","","","","IPR003038","PF02109","dolichyl-diphosphooligosaccharide-protein glycotransferase activity [GO:0004579]"
"Q00973-1","Homo sapiens (Human)","reviewed","B4GALNT1","Beta-1,4 N-acetylgalactosaminyltransferase 1 (EC 2.4.1.92) ((N-acetylneuraminyl)-galactosylglucosylceramide) (GM2/GD2 synthase) (GalNAc-T)","2.4.1.92","2.4.1.92","GT12","IPR001173|IPR011143|IPR029044","PF00535","(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity [GO:0003947]"
"Q02742-1","Homo sapiens (Human)","reviewed","GCNT1","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.102) (Core 2-branching enzyme) (Core2-GlcNAc-transferase) (C2GNT) (Core 2 GNT)","2.4.1.102","2.4.1.102","GT14","IPR003406","PF02485","beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity [GO:0003829]"
"Q09327-1","Homo sapiens (Human)","reviewed","MGAT3","Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (EC 2.4.1.144) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III) (GNT-III) (GlcNAc-T III) (N-acetylglucosaminyltransferase III)","2.4.1.144","","GT17","IPR006813","PF04724","beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity [GO:0003830]|transferase activity, transferring glycosyl groups [GO:0016757]"
"Q09328-1","Homo sapiens (Human)","reviewed","MGAT5","Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase V) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V) [Cleaved into: Secreted alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Secreted beta-1,6-N-acetylglucosaminyltransferase V) (Secreted GNT-V)]","2.4.1.155","2.4.1.155","GT18","IPR027833|IPR026116","PF15027|PF15024","alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity [GO:0030144]|manganese ion binding [GO:0030145]|protein phosphatase inhibitor activity [GO:0004864]"
"Q10469-1","Homo sapiens (Human)","reviewed","MGAT2","Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.143) (Beta-1,2-N-acetylglucosaminyltransferase II) (GlcNAc-T II) (GNT-II) (Mannoside acetylglucosaminyltransferase 2) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II)","2.4.1.143","","GT16","IPR007754|IPR029044","PF05060","alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity [GO:0008455]|carbohydrate binding [GO:0030246]|manganese ion binding [GO:0030145]|protein homodimerization activity [GO:0042803]"
"Q10471-1","Homo sapiens (Human)","reviewed","GALNT2","Polypeptide N-acetylgalactosaminyltransferase 2 (EC 2.4.1.41) (Polypeptide GalNAc transferase 2) (GalNAc-T2) (pp-GaNTase 2) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 2 soluble form]","2.4.1.41","2.4.1.41","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|manganese ion binding [GO:0030145]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q10472-1","Homo sapiens (Human)","reviewed","GALNT1","Polypeptide N-acetylgalactosaminyltransferase 1 (EC 2.4.1.41) (Polypeptide GalNAc transferase 1) (GalNAc-T1) (pp-GaNTase 1) (Protein-UDP acetylgalactosaminyltransferase 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 1) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 1 soluble form]","2.4.1.41","2.4.1.41","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|manganese ion binding [GO:0030145]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q10981-1","Homo sapiens (Human)","reviewed","FUT2","Galactoside 2-alpha-L-fucosyltransferase 2 (EC 2.4.1.344) (EC 2.4.1.69) (Alpha(1,2)FT 2) (Fucosyltransferase 2) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 2) (SE2) (Secretor blood group alpha-2-fucosyltransferase) (Secretor factor) (Se)","2.4.1.344|2.4.1.69","2.4.1.69","GT11","IPR002516","PF01531","fucosyltransferase activity [GO:0008417]|galactoside 2-alpha-L-fucosyltransferase activity [GO:0008107]"
"Q11128-1","Homo sapiens (Human)","reviewed","FUT5","Alpha-(1,3)-fucosyltransferase 5 (EC 2.4.1.65) (Fucosyltransferase 5) (Fucosyltransferase V) (Fuc-TV) (FucT-V) (Galactoside 3-L-fucosyltransferase)","2.4.1.65","2.4.1.152|2.4.1.65","GT10","IPR031481|IPR001503|IPR038577","PF17039|PF00852","3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity [GO:0017060]|alpha-(1->3)-fucosyltransferase activity [GO:0046920]|fucosyltransferase activity [GO:0008417]"
"Q11130-1","Homo sapiens (Human)","reviewed","FUT7","Alpha-(1,3)-fucosyltransferase 7 (EC 2.4.1.-) (Fucosyltransferase 7) (Fucosyltransferase VII) (Fuc-TVII) (FucT-VII) (Galactoside 3-L-fucosyltransferase) (Selectin ligand synthase)","2.4.1.-","2.4.1.214|2.4.1.65","GT10","IPR031481|IPR001503|IPR038577","PF17039|PF00852","alpha-(1->3)-fucosyltransferase activity [GO:0046920]|fucosyltransferase activity [GO:0008417]"
"Q11201-1","Homo sapiens (Human)","reviewed","ST3GAL1","CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 (Alpha 2,3-ST 1) (Beta-galactoside alpha-2,3-sialyltransferase 1) (EC 2.4.99.4) (Gal-NAc6S) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (SIATFL) (ST3Gal I) (ST3GalI) (ST3GalA.1) (ST3O) (Sialyltransferase 4A) (SIAT4-A)","2.4.99.4","2.4.99.4|2.4.99.6","GT29","IPR001675|IPR038578|IPR012163","PF00777","beta-galactoside (CMP) alpha-2,3-sialyltransferase activity [GO:0003836]"
"Q11203-1","Homo sapiens (Human)","reviewed","ST3GAL3","CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.6) (Beta-galactoside alpha-2,3-sialyltransferase 3) (Alpha 2,3-ST 3) (Gal beta-1,3(4) GlcNAc alpha-2,3 sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal III) (ST3GalIII) (ST3N) (Sialyltransferase 6)","2.4.99.6","2.4.99.6","GT29","IPR001675|IPR038578|IPR012163","PF00777","N-acetyllactosaminide alpha-2,3-sialyltransferase activity [GO:0008118]|sialyltransferase activity [GO:0008373]"
"Q11206-1","Homo sapiens (Human)","reviewed","ST3GAL4","CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 (Alpha 2,3-ST 4) (Beta-galactoside alpha-2,3-sialyltransferase 4) (EC 2.4.99.2) (EC 2.4.99.4) (Alpha 2,3-sialyltransferase IV) (Gal-NAc6S) (Gal-beta-1,4-GalNAc-alpha-2,3-sialyltransferase) (SAT-3) (ST-4) (ST3Gal IV) (ST3GalIV) (ST3GalA.2) (STZ) (Sialyltransferase 4C) (SIAT4-C)","2.4.99.2|2.4.99.4","2.4.99.4|2.4.99.6","GT29","IPR001675|IPR038578|IPR012163","PF00777","beta-galactoside (CMP) alpha-2,3-sialyltransferase activity [GO:0003836]|monosialoganglioside sialyltransferase activity [GO:0047288]|sialyltransferase activity [GO:0008373]"
"Q14435-1","Homo sapiens (Human)","reviewed","GALNT3","Polypeptide N-acetylgalactosaminyltransferase 3 (EC 2.4.1.41) (Polypeptide GalNAc transferase 3) (GalNAc-T3) (pp-GaNTase 3) (Protein-UDP acetylgalactosaminyltransferase 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 3)","2.4.1.41","2.4.1.41","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","calcium ion binding [GO:0005509]|carbohydrate binding [GO:0030246]|manganese ion binding [GO:0030145]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q14442-1","Homo sapiens (Human)","reviewed","PIGH","Phosphatidylinositol N-acetylglucosaminyltransferase subunit H (EC 2.4.1.198) (Phosphatidylinositol-glycan biosynthesis class H protein) (PIG-H)","2.4.1.198","","","IPR019328","PF10181","catalytic activity [GO:0003824]|phosphatidylinositol N-acetylglucosaminyltransferase activity [GO:0017176]"
"Q16394-1","Homo sapiens (Human)","reviewed","EXT1","Exostosin-1 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 1) (Putative tumor suppressor protein EXT1)","2.4.1.224|2.4.1.225","2.4.1.224|2.4.1.225","GT47|GT64","IPR004263|IPR027670|IPR040911|IPR015338|IPR029044","PF03016|PF09258","acetylglucosaminyltransferase activity [GO:0008375]|glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity [GO:0050508]|glucuronosyltransferase activity [GO:0015020]|heparan sulfate N-acetylglucosaminyltransferase activity [GO:0042328]|metal ion binding [GO:0046872]|N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity [GO:0050509]|protein heterodimerization activity [GO:0046982]|protein homodimerization activity [GO:0042803]|transferase activity, transferring glycosyl groups [GO:0016757]"
"Q16739-1","Homo sapiens (Human)","reviewed","UGCG","Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase)","2.4.1.80","2.4.1.80","GT21","IPR025993|IPR029044","PF13506","ceramide glucosyltransferase activity [GO:0008120]|dihydroceramide glucosyltransferase activity [GO:0102769]"
"Q16842-1","Homo sapiens (Human)","reviewed","ST3GAL2","CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2 (Alpha 2,3-ST 2) (Beta-galactoside alpha-2,3-sialyltransferase 2) (EC 2.4.99.4) (Gal-NAc6S) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (ST3Gal II) (ST3GalII) (ST3GalA.2) (Sialyltransferase 4B) (SIAT4-B)","2.4.99.4","2.4.99.4","GT29","IPR001675|IPR038578|IPR012163","PF00777","beta-galactoside (CMP) alpha-2,3-sialyltransferase activity [GO:0003836]|monosialoganglioside sialyltransferase activity [GO:0047288]"
"Q16880-1","Homo sapiens (Human)","reviewed","UGT8","2-hydroxyacylsphingosine 1-beta-galactosyltransferase (EC 2.4.1.47) (Ceramide UDP-galactosyltransferase) (Cerebroside synthase) (UDP-galactose-ceramide galactosyltransferase)","2.4.1.47","","GT1","IPR002213|IPR035595","PF00201","N-acylsphingosine galactosyltransferase activity [GO:0047263]|UDP-galactose:glucosylceramide beta-1,4-galactosyltransferase activity [GO:0008489]|UDP-glycosyltransferase activity [GO:0008194]"
"Q2PZI1-1","Homo sapiens (Human)","reviewed","DPY19L1","Probable C-mannosyltransferase DPY19L1 (EC 2.4.1.-) (Dpy-19-like protein 1) (Protein dpy-19 homolog 1)","2.4.1.-","","","IPR018732|IPR030041","PF10034","mannosyltransferase activity [GO:0000030]"
"Q2TAA5-1","Homo sapiens (Human)","reviewed","ALG11","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Asparagine-linked glycosylation protein 11 homolog) (Glycolipid 2-alpha-mannosyltransferase)","2.4.1.131","2.4.1.131","GT4","IPR038013|IPR031814|IPR001296","PF15924|PF00534","GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0004377]"
"Q3SY77-1","Homo sapiens (Human)","reviewed","UGT3A2","UDP-glucuronosyltransferase 3A2 (UDPGT 3A2) (EC 2.4.1.17)","2.4.1.17","","GT1","IPR002213|IPR035595","PF00201","glucuronosyltransferase activity [GO:0015020]|UDP-glycosyltransferase activity [GO:0008194]"
"Q3V5L5-1","Homo sapiens (Human)","reviewed","MGAT5B","Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.-) (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase B) (GlcNAc-T Vb) (GNT-Vb) (hGnTVb) (Mannoside acetylglucosaminyltransferase 5B) (N-acetylglucosaminyl-transferase Vb) (N-acetylglucosaminyltransferase IX) (GNT-IX)","2.4.1.-|2.4.1.155","","GT18","IPR026116","PF15024","alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity [GO:0030144]|manganese ion binding [GO:0030145]"
"Q495W5-1","Homo sapiens (Human)","reviewed","FUT11","Alpha-(1,3)-fucosyltransferase 11 (EC 2.4.1.-) (Fucosyltransferase XI) (Fuc-TXI) (FucT-XI) (Galactoside 3-L-fucosyltransferase 11) (Fucosyltransferase 11)","2.4.1.-","2.4.1.152|2.4.1.65","GT10","IPR017176|IPR031481|IPR001503|IPR038577","PF17039|PF00852","alpha-(1->3)-fucosyltransferase activity [GO:0046920]"
"Q49A17-1","Homo sapiens (Human)","reviewed","GALNTL6","Polypeptide N-acetylgalactosaminyltransferase-like 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 17) (GalNAc-T17) (pp-GaNTase 17) (Protein-UDP acetylgalactosaminyltransferase 17) (Putative polypeptide N-acetylgalactosaminyltransferase 17) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 17)","2.4.1.41","","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q4AE62-1","Homo sapiens (Human)","reviewed","GTDC1","Glycosyltransferase-like domain-containing protein 1 (Mannosyltransferase-like protein Xa) (Mat-Xa)","","","GT4","IPR001296|IPR022701","PF12038|PF00534",""
"Q4G0N0-1","Homo sapiens (Human)","reviewed","GGTA1P","Inactive N-acetyllactosaminide alpha-1,3-galactosyltransferase (Glycoprotein alpha-galactosyltransferase 1 pseudogene)","","","","IPR005076","","transferase activity, transferring hexosyl groups [GO:0016758]"
"Q4G148-1","Homo sapiens (Human)","reviewed","GXYLT1","Glucoside xylosyltransferase 1 (EC 2.4.2.42) (Glycosyltransferase 8 domain-containing protein 3)","2.4.2.42","","GT8","IPR002495|IPR029044","PF01501","UDP-xylosyltransferase activity [GO:0035252]"
"Q5BKT4-1","Homo sapiens (Human)","reviewed","ALG10","Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-A) (Asparagine-linked glycosylation protein 10 homolog A)","2.4.1.256","","GT59","IPR016900","PF04922","dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity [GO:0004583]|dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity [GO:0106073]"
"Q5I7T1-1","Homo sapiens (Human)","reviewed","ALG10B","Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-B) (Asparagine-linked glycosylation protein 10 homolog B) (Potassium channel regulator 1)","2.4.1.256","","","IPR016900","PF04922","dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity [GO:0004583]|dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity [GO:0106073]|transferase activity [GO:0016740]"
"Q5NDL2-1","Homo sapiens (Human)","reviewed","EOGT","EGF domain-specific O-linked N-acetylglucosamine transferase (EC 2.4.1.255) (Extracellular O-linked N-acetylglucosamine transferase)","2.4.1.255","","GT61","IPR007657","PF04577","protein N-acetylglucosaminyltransferase activity [GO:0016262]"
"Q5T4B2-1","Homo sapiens (Human)","reviewed","CERCAM","Inactive glycosyltransferase 25 family member 3 (Cerebral endothelial cell adhesion molecule)","","","GT25","IPR002654|IPR029044","PF01755",""
"Q67FW5-1","Homo sapiens (Human)","reviewed","B3GNTL1","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1 (BGnT-like protein 1) (Beta1,3-N-acetylglucosaminyltransferase-like protein 1) (Beta3Gn-T-like protein 1) (Beta3GnTL1) (EC 2.4.1.-) (Beta-1,3-N-acetylglucosaminyltransferase 8) (BGnT-8) (Beta-1,3-Gn-T8) (Beta3Gn-T8)","2.4.1.-","","GT2","IPR001173|IPR029044","PF00535","transferase activity, transferring glycosyl groups [GO:0016757]"
"Q68CQ7-1","Homo sapiens (Human)","reviewed","GLT8D1","Glycosyltransferase 8 domain-containing protein 1 (EC 2.4.1.-)","2.4.1.-","","GT8","IPR002495|IPR029044","PF01501","transferase activity, transferring glycosyl groups [GO:0016757]"
"Q6GMV1-1","Homo sapiens (Human)","reviewed","ALG1L","Putative glycosyltransferase ALG1-like (EC 2.4.1.-)","2.4.1.-","","GT33","IPR026051","","mannosyltransferase activity [GO:0000030]"
"Q6IS24-1","Homo sapiens (Human)","reviewed","GALNT17","Polypeptide N-acetylgalactosaminyltransferase 17 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 3) (GalNAc-T-like protein 3) (pp-GaNTase-like protein 3) (Protein-UDP acetylgalactosaminyltransferase-like protein 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 3) (Williams-Beuren syndrome chromosomal region 17 protein)","2.4.1.41","","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q6L9W6-1","Homo sapiens (Human)","reviewed","B4GALNT3","Beta-1,4-N-acetylgalactosaminyltransferase 3 (B4GalNAcT3) (Beta4GalNAc-T3) (Beta4GalNAcT3) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase III) (N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2) (NGalNAc-T2)","2.4.1.244","2.4.1.244","GT7","IPR008428|IPR029044|IPR037524|IPR011658","PF05679|PF07691","acetylgalactosaminyltransferase activity [GO:0008376]|N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity [GO:0033842]"
"Q6NUS8-1","Homo sapiens (Human)","reviewed","UGT3A1","UDP-glucuronosyltransferase 3A1 (UDPGT 3A1) (EC 2.4.1.17)","2.4.1.17","","GT1","IPR002213|IPR035595","PF00201","glucuronosyltransferase activity [GO:0015020]|UDP-glycosyltransferase activity [GO:0008194]"
"Q6NUT2-1","Homo sapiens (Human)","reviewed","DPY19L2","Probable C-mannosyltransferase DPY19L2 (EC 2.4.1.-) (Dpy-19-like protein 2) (Protein dpy-19 homolog 2)","2.4.1.-","","","IPR018732|IPR030042","PF10034","mannosyltransferase activity [GO:0000030]"
"Q6NXN4-1","Homo sapiens (Human)","reviewed","DPY19L2P1","Putative C-mannosyltransferase DPY19L2P1 (EC 2.4.1.-) (Dpy-19-like protein 2 pseudogene 1) (Protein dpy-19 homolog 2-like 1)","2.4.1.-","","","IPR018732|IPR030042","PF10034","mannosyltransferase activity [GO:0000030]"
"Q6P4F1-1","Homo sapiens (Human)","reviewed","FUT10","Alpha-(1,3)-fucosyltransferase 10 (EC 2.4.1.-) (Fucosyltransferase X) (Fuc-TX) (FucT-X) (Galactoside 3-L-fucosyltransferase 10) (Fucosyltransferase 10)","2.4.1.-","2.4.1.65","GT10","IPR017176|IPR031481|IPR001503|IPR038577","PF17039|PF00852","alpha-(1->3)-fucosyltransferase activity [GO:0046920]"
"Q6P9A2-1","Homo sapiens (Human)","reviewed","GALNT18","Polypeptide N-acetylgalactosaminyltransferase 18 (EC 2.4.1.41) (Polypeptide GalNAc transferase 18) (GalNAc-T18) (Polypeptide GalNAc transferase-like protein 4) (GalNAc-T-like protein 4) (pp-GaNTase-like protein 4) (Polypeptide N-acetylgalactosaminyltransferase-like protein 4) (Protein-UDP acetylgalactosaminyltransferase-like protein 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 4)","2.4.1.41","","GT27","IPR001173|IPR029044|IPR035992|IPR000772","PF00535|PF00652","carbohydrate binding [GO:0030246]|metal ion binding [GO:0046872]|polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"
"Q6UW63-1","Homo sapiens (Human)","reviewed","POGLUT2","Protein O-glucosyltransferase 2 (EC 2.4.1.-) (Endoplasmic reticulum resident protein 58) (ER protein 58) (ERp58) (KDEL motif-containing protein 1) (Protein O-xylosyltransferase POGLUT2) (EC 2.4.2.26)","2.4.1.-|2.4.2.26","","GT90","IPR006598|IPR017868|IPR001298|IPR013783|IPR014756","PF00630|PF05686","glucosyltransferase activity [GO:0046527]|protein xylosyltransferase activity [GO:0030158]|UDP-glucosyltransferase activity [GO:0035251]|UDP-xylosyltransferase activity [GO:0035252]"
"Q6UWM9-1","Homo sapiens (Human)","reviewed","UGT2A3","UDP-glucuronosyltransferase 2A3 (UDPGT 2A3) (EC 2.4.1.17)","2.4.1.17","2.4.1.17","GT1","IPR002213|IPR035595","PF00201","glucuronosyltransferase activity [GO:0015020]|UDP-glycosyltransferase activity [GO:0008194]"
